id,eventname,location,organization,date,event_details
17023,Muttertagsfest,Nussdorf am Inn,KVK Nussdorf,14.05.2023, Die ersten 200 Mamas erhalten ein Present! Ab 16 Uhr!
16956,DISCO PARTY,Pastetten,Burschengemeinschaft Pastetten,13.05.2023," I say DISCO, you say PARTY…🥳 Am Samstag erwartet euch in unserem Festzelt DIE Discoparty schlechthin🎉🪩 Nicht einer, nicht zwei, sondern gleich drei DJ\'s heizen euch an diesem Tag maximal ein und stellen das Zelt Überkopf🎶🤩 Gemeinsam mit DJ SM, DJ BALU und DJ BERLUS könnt ihr an diesem Abend so richtig die Sau rauslassen – #HAGGEWIADFAGGE 3 DJ\'s und nur ein Eintritt?! Wer des verpasst ist selber Schuld…🥳 "
17021,Tanzlmusitreffen,Nußdorf am Inn,KVK Nussdorf,13.05.2023," Menzl spuid auf, DNM Danzlmusi und Brodjaga Musi"
17033,After Mallorca Party,Woods Bar Bruckmühl,,13.05.2023," Das Mallorca Festival in Bruckmühl reicht Dir noch nicht? Du hast keine Karten mehr fürs Mallorca Festival bekommen und hast trotzdem Bock auf Ballermann und Bierkönig-Feeling?🤩 Du liebst einfach Malle-Hits und möchtest mal wieder richtig abfeiern?  Dann pack deine Freunde ein, kommt vorbei und freut Euch auf 50 Liter Freibier 🍺🥳"
16833,Moosen Party BVJakobneuharting,Moosen Frauenneuharting,M7 Veranstaltungstechnik,13.05.2023, 
17035,Schnaps & Liebe,Eiskeller Aschau,,13.05.2023, Schnaps & Liebe  Kapellmeister Raoul Tosa neben seiner einzigartigen Musik wohl sinnbildlich wie kein Zweiter für diese beiden Begriffe …. … & deshalb gibts von 22 – 23 Uhr den Eintritt for free sowie von 22 bis 24 Uhr alle Longdrinks für 5 €  … be prepared for a night full of memories  Sound by: Raoul Tosa all night long  13.05.2022 22:00 Uhr  Reservierungen via Direct Message oder E-Mail: reservierung@eiskeller.club 
16331,Bier- & Weinfest 60 Jahre SVR,Sportplatz Riedering,Sportverein Riedering,13.05.2023, 
17045,Weinfest,83104 Beyharting,,13.05.2023, 
16330,90er Party 60 Jahre SVR,Sportplatz Riedering,Sportverein Riedering,12.05.2023, 
16955,Schlager Party,Pastetten,Burschengemeinschaft Pastetten,12.05.2023," Alle Schlager-Fans aufgepasst, das dürft ihr keinesfalls verpassen❗️ Wir starten unser Gründungsfest mit einer sicherlich legendären Schlager-Party🎊🥳 Schlagerband Luna wird euch den ganzen Abend über mit den besten Schlager-Hits der letzten Jahrzehnte verwöhnen🎵🎊 Von Udo Jürgens bis DJ Robin, hier ist wirklich alles geboten – #laylawarnochniemalsinnewyork 😝 Als absolutes Highlight dürfen wir an diesem Abend❗️Anna-Maria Zimmermann❗️auf unserer Bühne begrüßen🤩🥳 Ebenfalls freut es uns ganz besonders auch Marcel Schlager, als jungen und aufstrebenden Schlagersänger aus dem Landkreis Erding auf unserer Bühne willkommen zu heißen🎉 Bei bester Musik könnt ihr dann natürlich euer Tanzbein auf unserer XXL-Tanzfläche schwingen🕺💃 Die Tickets dafür sind bereits erhältlich, Link siehe oben😉 Beginn: 20 Uhr Einlass: ab 19 Uhr Wenn das mal kein gebührender Festauftakt wird… 🥳🍻 "
17020,Oberkrainer vom Feinsten,Nussdorf am Inn,KVK Nussdorf,12.05.2023, 
17019,Bieranstich,Nussdorf am Inn,KVK Nussdorf,11.05.2023, 
16329,Bieranstich 60 Jahre SVR,Sportplatz Riedering,Sportverein Riedering,11.05.2023, 
17015,Modus Eiskeller,Eiskeller Aschau,,06.05.2023," MODUS EISKELLER  HipHop vs. Deutsch  Der Name ist Programm, wir spielen alles aus dem HipHop und deutschsprachigem Raum, das Spaß macht.  You'd better be there…  Sound by: KNOX LUIS BUCHMANN  06.05.2023 22:00 Uhr  Reservierungen via Direct Message oder E-Mail: reservierung@eiskeller.club  #MODUSEISKELLER #CHIEMGAUDISCO #EISKELLERCLUB"
16984,Beachparty,Hörlkofener str.14  Erding,,06.05.2023, Ab 16 jahren🎉 Tropische wärme mit Sand in der Halle und natürlich mit kalten Getränke🏝️🍻 Mir gfrein uns auf eich👋🏻🍻  
16994,Zeltdisco Kloster Au,Kloster Au / Gars,,06.05.2023,
